year,month,hadcrut4,gistemp,berkeley,cowtan_way
1876,8,-0.356,,-0.546,-0.353
1876,9,-0.544,,-0.633,-0.434
1876,10,-0.496,,-0.558,-0.45
1876,11,-0.694,,-0.746,-0.701
1876,12,-0.824,,-0.821,-0.767
1877,1,-0.435,,-0.449,-0.523
1877,2,-0.059,,-0.357,-0.35
1877,3,-0.388,,-0.216,-0.192
1877,4,-0.429,,-0.391,-0.402
1877,5,-0.562,,-0.365,-0.495
1877,6,-0.2,,-0.306,-0.152
1877,7,-0.095,,-0.13,-0.114
1877,8,0.039,,-0.019,0.136
1877,9,-0.08,,-0.089,-0.007
1877,10,-0.046,,-0.069,0.008
1877,11,-0.012,,-0.046,-0.025
1877,12,0.062,,-0.304,-0.257
1878,1,0.066,,-0.228,-0.216
1878,2,0.295,,0.13,0.105
1878,3,0.235,,0.298,0.162
1878,4,0.211,,0.042,0.063
1878,5,-0.19,,-0.298,-0.262
1878,6,-0.089,,-0.154,-0.073
1878,7,-0.157,,-0.104,-0.116
1878,8,-0.131,,-0.148,-0.095
1878,9,-0.091,,-0.254,-0.049
1878,10,-0.23,,-0.275,-0.185
1878,11,-0.308,,-0.216,-0.251
1878,12,-0.464,,-0.361,-0.439
1879,1,-0.301,,-0.37,-0.292
1879,2,-0.257,,-0.505,-0.388
1879,3,-0.202,,-0.317,-0.254
1879,4,-0.322,,-0.555,-0.504
1879,5,-0.32,,-0.488,-0.422
1879,6,-0.378,,-0.404,-0.413
1879,7,-0.338,,-0.435,-0.339
1879,8,-0.275,,-0.503,-0.29
1879,9,-0.323,,-0.575,-0.344
1879,10,-0.23,,-0.358,-0.218
1879,11,-0.498,,-0.482,-0.409
1879,12,-0.623,,-0.708,-0.657
1880,1,-0.175,-0.516,-0.655,-0.534
1880,2,-0.281,-0.406,-0.746,-0.503
1880,3,-0.212,-0.336,-0.501,-0.294
1880,4,-0.258,-0.426,-0.553,-0.405
1880,5,-0.352,-0.346,-0.447,-0.353
1880,6,-0.415,-0.456,-0.511,-0.404
1880,7,-0.355,-0.436,-0.494,-0.394
1880,8,-0.224,-0.316,-0.43,-0.243
1880,9,-0.343,-0.386,-0.662,-0.415
1880,10,-0.494,-0.456,-0.579,-0.511
1880,11,-0.516,-0.426,-0.426,-0.36
1880,12,-0.402,-0.456,-0.48,-0.451
1881,1,-0.461,-0.376,-0.35,-0.346
1881,2,-0.342,-0.396,-0.46,-0.345
1881,3,-0.289,-0.186,-0.334,-0.332
1881,4,-0.239,-0.186,-0.257,-0.19
1881,5,-0.138,-0.206,-0.296,-0.229
1881,6,-0.338,-0.426,-0.585,-0.503
1881,7,-0.256,-0.296,-0.385,-0.345
1881,8,-0.231,-0.256,-0.414,-0.242
1881,9,-0.348,-0.366,-0.557,-0.388
1881,10,-0.383,-0.436,-0.5,-0.378
1881,11,-0.442,-0.446,-0.654,-0.495
1881,12,-0.238,-0.336,-0.468,-0.347
1882,1,0.017,-0.086,-0.157,-0.083
1882,2,-0.116,-0.076,-0.244,-0.157
1882,3,-0.159,-0.196,-0.349,-0.265
1882,4,-0.391,-0.416,-0.52,-0.48
1882,5,-0.48,-0.386,-0.494,-0.52
1882,6,-0.423,-0.486,-0.596,-0.513
1882,7,-0.295,-0.436,-0.594,-0.418
1882,8,-0.329,-0.286,-0.444,-0.308
1882,9,-0.264,-0.326,-0.467,-0.271
1882,10,-0.437,-0.476,-0.615,-0.519
1882,11,-0.42,-0.386,-0.675,-0.516
1882,12,-0.579,-0.476,-0.858,-0.793
1883,1,-0.508,-0.546,-0.654,-0.609
1883,2,-0.429,-0.616,-0.689,-0.575
1883,3,-0.454,-0.356,-0.353,-0.347
1883,4,-0.505,-0.406,-0.575,-0.533
1883,5,-0.364,-0.426,-0.484,-0.412
1883,6,-0.232,-0.356,-0.381,-0.321
1883,7,-0.308,-0.316,-0.519,-0.376
1883,8,-0.318,-0.386,-0.584,-0.399
1883,9,-0.387,-0.436,-0.623,-0.419
1883,10,-0.487,-0.366,-0.497,-0.446
1883,11,-0.42,-0.456,-0.729,-0.581
1883,12,-0.431,-0.386,-0.523,-0.47
1884,1,-0.511,-0.386,-0.489,-0.497
1884,2,-0.325,-0.316,-0.457,-0.38
1884,3,-0.567,-0.596,-0.748,-0.687
1884,4,-0.635,-0.656,-0.801,-0.755
1884,5,-0.504,-0.596,-0.79,-0.689
1884,6,-0.519,-0.636,-0.741,-0.634
1884,7,-0.532,-0.576,-0.773,-0.687
1884,8,-0.521,-0.496,-0.739,-0.569
1884,9,-0.454,-0.506,-0.752,-0.604
1884,10,-0.44,-0.466,-0.714,-0.572
1884,11,-0.675,-0.526,-0.823,-0.757
1884,12,-0.523,-0.516,-0.683,-0.602
1885,1,-0.61,-0.816,-0.945,-0.813
1885,2,-0.52,-0.526,-0.733,-0.605
1885,3,-0.59,-0.476,-0.609,-0.616
1885,4,-0.577,-0.656,-0.749,-0.761
1885,5,-0.626,-0.646,-0.773,-0.731
1885,6,-0.594,-0.666,-0.819,-0.763
1885,7,-0.424,-0.586,-0.6,-0.51
1885,8,-0.613,-0.546,-0.671,-0.566
1885,9,-0.437,-0.466,-0.671,-0.475
1885,10,-0.35,-0.416,-0.557,-0.448
1885,11,-0.37,-0.426,-0.651,-0.563
1885,12,-0.263,-0.276,-0.441,-0.338
1886,1,-0.504,-0.646,-0.866,-0.689
1886,2,-0.578,-0.686,-0.918,-0.737
1886,3,-0.52,-0.616,-0.844,-0.687
1886,4,-0.446,-0.506,-0.675,-0.591
1886,5,-0.296,-0.486,-0.54,-0.418
1886,6,-0.49,-0.616,-0.713,-0.623
1886,7,-0.388,-0.446,-0.531,-0.42
1886,8,-0.443,-0.566,-0.662,-0.459
1886,9,-0.54,-0.486,-0.714,-0.532
1886,10,-0.469,-0.516,-0.672,-0.501
1886,11,-0.531,-0.536,-0.793,-0.634
1886,12,-0.528,-0.486,-0.617,-0.541
1887,1,-0.674,-0.956,-1.188,-0.974
1887,2,-0.664,-0.756,-0.976,-0.861
1887,3,-0.565,-0.566,-0.716,-0.605
1887,4,-0.543,-0.616,-0.604,-0.513
1887,5,-0.463,-0.546,-0.676,-0.612
1887,6,-0.512,-0.466,-0.712,-0.553
1887,7,-0.382,-0.466,-0.581,-0.484
1887,8,-0.47,-0.546,-0.76,-0.587
1887,9,-0.445,-0.456,-0.636,-0.468
1887,10,-0.607,-0.556,-0.654,-0.531
1887,11,-0.512,-0.466,-0.666,-0.545
1887,12,-0.503,-0.556,-0.66,-0.565
1888,1,-0.699,-0.606,-0.619,-0.617
1888,2,-0.548,-0.586,-0.78,-0.657
1888,3,-0.642,-0.636,-0.71,-0.68
1888,4,-0.346,-0.456,-0.632,-0.508
1888,5,-0.455,-0.446,-0.576,-0.507
1888,6,-0.4,-0.416,-0.571,-0.441
1888,7,-0.412,-0.326,-0.477,-0.407
1888,8,-0.386,-0.386,-0.496,-0.353
1888,9,-0.327,-0.326,-0.562,-0.412
1888,10,-0.203,-0.216,-0.306,-0.186
1888,11,-0.302,-0.226,-0.392,-0.332
1888,12,-0.277,-0.296,-0.382,-0.364
1889,1,-0.175,-0.346,-0.359,-0.32
1889,2,-0.19,-0.046,-0.037,-0.042
1889,3,-0.172,-0.146,-0.199,-0.214
1889,4,-0.098,-0.156,-0.173,-0.15
1889,5,-0.188,-0.256,-0.367,-0.287
1889,6,-0.252,-0.366,-0.401,-0.258
1889,7,-0.299,-0.326,-0.377,-0.281
1889,8,-0.328,-0.426,-0.507,-0.363
1889,9,-0.489,-0.446,-0.607,-0.47
1889,10,-0.406,-0.456,-0.517,-0.398
1889,11,-0.506,-0.556,-0.75,-0.556
1889,12,-0.287,-0.526,-0.591,-0.526
1890,1,-0.437,-0.666,-0.701,-0.632
1890,2,-0.476,-0.676,-0.672,-0.565
1890,3,-0.571,-0.626,-0.796,-0.703
1890,4,-0.432,-0.596,-0.649,-0.512
1890,5,-0.525,-0.686,-0.707,-0.606
1890,6,-0.479,-0.496,-0.659,-0.513
1890,7,-0.513,-0.496,-0.643,-0.563
1890,8,-0.524,-0.616,-0.685,-0.523
1890,9,-0.581,-0.626,-0.712,-0.495
1890,10,-0.606,-0.466,-0.533,-0.471
1890,11,-0.663,-0.706,-0.904,-0.743
1890,12,-0.519,-0.546,-0.598,-0.516
1891,1,-0.62,-0.646,-0.701,-0.676
1891,2,-0.582,-0.706,-0.826,-0.672
1891,3,-0.471,-0.416,-0.445,-0.381
1891,4,-0.466,-0.506,-0.599,-0.562
1891,5,-0.307,-0.416,-0.479,-0.366
1891,6,-0.396,-0.436,-0.598,-0.441
1891,7,-0.431,-0.436,-0.6,-0.44
1891,8,-0.421,-0.386,-0.536,-0.431
1891,9,-0.301,-0.366,-0.49,-0.33
1891,10,-0.43,-0.446,-0.588,-0.444
1891,11,-0.649,-0.576,-0.757,-0.634
1891,12,-0.223,-0.276,-0.368,-0.37
1892,1,-0.506,-0.506,-0.486,-0.53
1892,2,-0.22,-0.346,-0.409,-0.307
1892,3,-0.578,-0.576,-0.665,-0.663
1892,4,-0.592,-0.576,-0.723,-0.678
1892,5,-0.511,-0.476,-0.636,-0.573
1892,6,-0.569,-0.466,-0.539,-0.547
1892,7,-0.634,-0.556,-0.723,-0.669
1892,8,-0.551,-0.476,-0.661,-0.604
1892,9,-0.433,-0.356,-0.553,-0.396
1892,10,-0.549,-0.346,-0.43,-0.45
1892,11,-0.735,-0.636,-0.926,-0.75
1892,12,-0.901,-0.606,-0.689,-0.839
1893,1,-1.082,-1.016,-1.102,-1.034
1893,2,-0.835,-0.766,-0.837,-0.805
1893,3,-0.481,-0.456,-0.516,-0.487
1893,4,-0.675,-0.526,-0.587,-0.602
1893,5,-0.667,-0.586,-0.611,-0.597
1893,6,-0.567,-0.506,-0.523,-0.496
1893,7,-0.385,-0.386,-0.399,-0.296
